"Assemblage","ID","N..scars","Flaking.Length","Width.at.Midpoint","Proximal.Width","Distal.Width","Thickness.at.midpoint","Platform.Width","Platform.Thickness"
"ANW-3","4",7,51.55,51.55,48.08,32.03,11.17,47.61,11.54
"ANW-3","5",8,59.69,59.69,34.62,27.49,13.7,31.32,13.29
"ANW-3","6",8,46.1,46.1,42,30.58,7.85,38.65,7.55
"ANW-3","7",7,45.6,45.6,26.58,12.5,7.88,23.28,8.5
"ANW-3","9",8,31.54,31.54,26.83,32.34,9.71,25.4,9.73
"ANW-3","10",5,33.7,33.7,26.94,17.44,7.86,22.08,7.31
"ANW-3","11",12,75.06,75.06,60.34,40.33,17.76,59.99,20.18
"ANW-3","35",9,46.1,46.1,29,32.34,6.76,28.81,9.21
"ANW-3","52",5,46.32,46.32,24.9,28.26,8.59,23.47,9.64
"ANW-3","41",10,32.42,32.42,29.55,18.96,6.62,26.15,7.14
"ANW-3","60",11,50.25,50.25,36.95,20.88,8.6,31.11,9.89
"ANW-3","46",10,31.99,31.99,23.85,23.31,6.06,18.48,5.44
"ANW-3","100",4,38.29,38.29,33.16,21.7,9.31,34.68,10.83
"ANW-3","6",10,64.07,64.07,37.18,27.01,7.61,34.08,9.78
"ANW-3","27",7,40.11,40.11,25.2,17.82,8.59,24.23,8.44
"ANW-3","13",7,40.36,40.36,20.89,12.76,6.69,18.87,7.55
"ANW-3","40",9,58.58,58.58,26.41,22.27,6.06,21.03,6.7
"ANW-3","39",6,51.17,51.17,36.78,34.77,9.03,33.35,11.22
"ANW-3","47",6,35.25,35.25,27.79,9.08,5.7,29.67,7.07
"ANW-3","100",7,46.9,46.9,28.45,24.67,8.61,25.71,7.73
"ANW-3","12",5,35.62,35.62,28.09,12.93,8.3,24.15,8.26
"ANW-3","57",6,37.03,37.03,28.76,26.24,6.28,19.16,8.24
"ANW-3","65",11,34.46,34.46,28.27,12.77,5.37,27.04,6.59
"ANW-3","19",9,26.26,26.26,20.03,7.51,6.07,19.38,6.7
"ANW-3","61",10,50.41,50.41,17.75,7.26,6.74,17.23,5.17
"ANW-3","59",5,41.44,41.44,23.55,24.75,8.04,19.78,6.17
"ANW-3","57",9,43.09,43.09,30.27,24.16,9.6,33.86,8.95
"ANW-3","41",7,48.96,48.96,37.01,24.19,7.66,36.1,9.25
"ANW-3","56",8,41.86,41.86,34.18,23.19,8.68,35.64,8.51
"ANW-3","59",6,41.99,41.99,34.84,27.95,10.5,35.65,8.13
"ANW-3","61",9,33.35,33.35,22.93,25.56,8.21,15.95,5.42
"ANW-3","41",6,48.25,48.25,22.06,21.96,8.4,20.19,10.36
"ANW-3","9",8,48.37,48.37,25.5,22.79,6.51,22.37,9.98
"ANW-3","2",6,32.49,32.49,25.67,17.34,4.97,21.84,4.75
"ANW-3","5",6,45.79,45.79,32.21,23.33,6.06,22.22,5.84
"ANW-3","43",4,35.8,35.8,30.71,22.15,7.03,30.72,9
"ANW-3","43",8,29.56,29.56,20.97,20.91,5.78,22.94,6.51
"ANW-3","100",7,34.18,34.18,15.09,9.8,4.58,16.26,5.72
"ANW-3","40",7,22.58,22.58,24.94,20.68,8.44,28.84,8.06
"ANW-3","4",8,33.78,33.78,26.12,12.53,9.6,26.42,8.21
"ANW-3","41",5,29.69,29.69,22.9,20.25,3.83,20.39,6.62
"ANW-3","65",7,28.29,28.29,18.13,10.59,4.23,17.75,5.25
"ANW-3","36",6,30.13,30.13,20.4,18.19,5.08,19.06,6.39
"ANW-3","47",7,30.21,30.21,26.75,21.86,9.37,26.61,9.94
"ANW-3","1",8,53.33,53.33,26.75,18.38,6.63,29.97,8.93
"ANW-3","41",8,37.45,37.45,17.32,13.99,2.66,17.19,4.15
"ANW-3","56",5,38.2,38.2,35.95,15.87,11.69,36.59,11.9
"KAM-4 A.D","175",6,39.99,39.99,41.69,38.2,11.1,37.92,13.78
"KAM-4 A.D","176",3,47.63,47.63,28.47,18.72,7.95,22.7,5.13
"KAM-4 A.D","195",6,76,76,47.32,21.2,10.7,28.32,6.7
"KAM-4 A.D","199",4,32.93,32.93,28.12,14.53,6.04,19.88,5.56
"KAM-4 A.D","203",6,34.05,34.05,33.34,29.42,8.02,23.18,7.34
"KAM-4 A.D","204",6,48.97,48.97,40.44,26.24,9.94,21.43,7.47
"KAM-4 A.D","210",6,43.78,43.78,26.38,20.06,9.53,19.38,8.32
"KAM-4 A.D","215",5,41.71,41.71,38.52,31.93,9.36,15.58,6.24
"KAM-4 A.D","216",4,48.06,48.06,39.58,30.15,9.89,30.31,8.53
"KAM-4 A.D","221",6,65.42,65.42,32.32,17.17,7.86,15.49,4.69
"KAM-4 A.D","233",6,75.4,75.4,35.01,13.64,10.46,32.18,10.92
"KAM-4 A.D","241",5,70.09,70.09,58.36,39.77,13.88,22.98,10.71
"KAM-4 A.D","245",5,52.37,52.37,41.71,12.22,9.69,48.12,7.47
"KAM-4 A.D","260",3,32.92,32.92,20.99,7.85,5.27,22.31,9.26
"KAM-4 A.D","262",4,38.74,38.74,28.93,21.44,7.28,12.25,19.13
"KAM-4 A.D","268",8,59.84,59.84,46.88,35.35,10.45,17.04,6.13
"KAM-4 A.D","270",5,53.47,53.47,55.94,33.43,11.73,30.09,12.92
"KAM-4 A.D","287",5,44.55,44.55,46.22,44.64,10.34,33.12,6.69
"KAM-4 A.D","296",3,35.71,35.71,29.04,20.39,11.97,28.24,11.44
"KAM-4 A.D","315",5,48.95,48.95,41.9,28.51,8.9,15.09,6.96
"KAM-4 A.D","342",4,34.53,34.53,22.6,13.67,4.64,13.44,4.85
"KAM-4 A.D","33333",8,49.25,49.25,70.53,66.31,12.77,35.39,12.52
"KAM-4 A.D","352",6,23.8,23.8,41.33,35.61,8.56,32.63,10.86
"KAM-4 A.D","355",5,27.04,27.04,33.51,37.28,9.99,25.66,10.81
"KAM-4 A.D","382",5,28.75,28.75,25.62,20.14,5.94,29.62,6.23
"KAM-4 A.D","398",5,35.79,35.79,26.06,29.79,7.99,10.75,4.8
"KAM-4 A.D","420",6,48.04,48.04,47.74,32.79,17.68,47.18,13.81
"KAM-4 A.D","429",4,35.61,35.61,41.02,21.96,10.08,37.7,8.94
"KAM-4 A.D","456",5,74.85,74.85,42.25,5.19,8.72,30.81,10.94
"KAM-4 A.D","466",7,33.28,33.28,31.89,21.19,9.53,10.68,6.61
"KAM-4 A.D","481",5,23.25,23.25,24.18,17.74,7.21,25.48,7.1
"KAM-4 A.D","631",6,42.84,42.84,38.68,34.67,11.38,33.6,5.88
"KAM-4 A.D","773",4,47.42,47.42,33.14,13.95,7.14,37.71,7.96
"KAM-4 A.D","798",5,29.84,29.84,18.43,18.11,6.05,16.89,5.7
"KAM-4 A.D","802",5,21.54,21.54,22.05,21.09,5.64,14.31,3.95
"KAM-4 A.D","819",5,38.59,38.59,22.89,10.15,5.82,19.06,6.82
"KAM-4 A.D","824",5,29.5,29.5,20.01,7.53,7.15,15.62,6.77
"KAM-4 A.D","890",8,42.52,42.52,35.34,22.95,7.74,26.85,6.26
"KAM-4 A.D","913",5,52.11,52.11,28.86,18.63,6.52,32.52,7.26
"MDF-61","25",7,68.05,38.67,17.37,16.34,9.09,16.76,4.69
"MDF-61","92",5,47.53,31.55,26.31,28.19,6.11,25.84,9.01
"MDF-61","164",4,59.34,40.38,38.54,34.33,7.52,35.64,8.46
"MDF-61","601",6,57.18,57.81,40.51,41.77,8.59,38.3,6.63
"MDF-61","808",6,42.53,26.57,33.09,7.87,8.16,35.2,8.71
"MDF-61","813",6,36.9,43.74,26.53,29.63,6.68,22.87,8.13
"MDF-61","842",11,69.84,59.1,43.08,40.7,15.22,29.38,7.14
"MDF-61","843",6,41.93,42.1,34.21,40.37,7.03,36.28,11.15
"MDF-61","848",7,45.88,59.04,30.57,57.26,7.75,32.12,9.38
"MDF-61","853",7,48.82,43.57,22.96,25.08,7.7,16.67,8.88
"MDF-61","868",9,55.63,43.87,22.98,25.27,7.73,18.7,8.17
"MDF-61","872",9,61.14,35.93,26.56,32.39,10.41,20.14,8.6
"MDF-61","882",8,61.6,39.04,26.28,35.61,9.48,23.04,9.73
"MDF-61","883",6,58.98,53.85,47.51,43.02,13.63,41.91,12.78
"MDF-61","895",6,48.48,36.35,33.99,18.28,9.45,20.52,5.45
"MDF-61","899",7,67.18,44.84,38.84,23.91,9.12,37.57,8.1
"MDF-61","911",4,57.54,53.87,41.43,39.57,6.99,37.73,7.19
"MDF-61","915",6,56.79,54.99,36.33,13.77,10.6,36.14,12.4
"MDF-61","919",5,42.42,38.88,30.15,32.56,8.03,21.74,8.78
"MDF-61","923",5,53.98,50.17,39.25,36.61,11.1,35.75,11.82
"MDF-61","940",5,39.73,38.26,32.11,31.22,7.1,21.48,5.36
"MDF-61","941",9,52.64,59.08,48.62,54.65,12.09,42.47,10.43
"MDF-61","952",9,72.09,55.97,62.43,46.71,11.5,38.29,10.96
"MDF-61","955",8,54.57,47.11,47.28,47.42,9.31,38.03,12.22
"MDF-61","966",5,44.56,32.53,18.75,27.93,5.67,17.15,5.22
"MDF-61","968",7,58.61,38.68,27.86,34.7,8.23,12.62,5.79
"MDF-61","969",8,48.67,43.93,33.08,44.67,9.16,21.18,7.05
"MDF-61","976",4,49.39,53.76,45.64,49.04,13.86,37.19,11.6
"MDF-61","984",8,53.9,41.62,26.99,15.09,13.04,25.55,11.99
"MDF-61","985",4,53.31,34.27,37.56,11.32,10.29,30.37,12.83
"MDF-61","1035",7,49.59,47.12,32.53,42.68,12,33.41,13.08
"MDF-61","1205",6,58.14,55.68,40.92,53.06,7.15,22.97,4.48
"MDF-61","1207",7,62.07,51.86,44.64,57.19,11.13,29.42,6.52
"MDF-61","1216",6,54.38,50.45,38.93,45.63,11.59,37.44,11.42
"MDF-61","1220",5,56.62,39.04,36.79,17.07,8.51,33.12,7.67
"MDF-61","1227",5,63.23,58.51,43.32,49.48,11.54,42.75,11.83
"MDF-61","1230",11,65.17,33.11,28.07,30.47,7.68,24.24,10.43
"MDF-61","1231",5,58.18,43.07,31.97,22.73,10.63,20.24,9.25
"MDF-61","1233",7,76.49,33.47,35.44,15.68,7.73,19.58,5.4
"MDF-61","1236",7,64.32,41.58,34.86,33.91,6.65,31.84,8.65
"MDF-61","1237",7,50.65,46.96,35.28,45.56,6.67,36.68,12.51
"MDF-61","1254",8,78.87,57.85,36.41,36.92,12.06,21.53,9.52
"MDF-61","1255",7,51.66,48.99,22.67,29.65,7.96,20.04,10.22
"MDF-61","1258",6,51.42,33.77,30.53,32.29,8.17,17.83,7.3
"MDF-61","1260",6,50.22,36.49,26.99,29.29,5.71,24.65,11.6
"MDF-61","1263",9,55.75,36.26,34.95,29.4,6.69,31.07,10.81
"MDF-61","1267",8,58.68,47.24,35.66,38.51,7.57,32.66,9.65
"MDF-61","1271",8,55.8,49.23,46.06,48.02,7.86,31.23,6.37
"MDF-61","1554",6,32.49,41.89,31.61,42.43,5.14,27.99,6.5
"MDF-61","1568",6,31.34,32.57,25.96,32.67,7.1,18.97,4.52
"Qafzeh XIX","747",3,31,23.97,17.18,16.33,3.78,13.49,3.89
"Qafzeh XIX","731",4,53.42,24.48,20.53,6.34,5.35,6.74,4.15
"Qafzeh XIX","47",3,35.06,23.21,22.86,10.39,4.72,3.45,1.67
"Qafzeh XIX","284",5,53.1,26.22,23.51,7.71,6.07,15.81,3.73
"Qafzeh XIX","358",5,38.31,18.79,24.88,13,3.23,13.97,5.09
"Qafzeh XIX","735",5,43.46,28.71,22.18,8.91,2.94,20.49,3.77
"Qafzeh XIX","1",5,33.39,26.76,22.19,11.87,5.66,20.6,1.95
"Qafzeh XIX","44",4,38.88,31.32,16.78,6.3,5.12,13.02,2.41
"Qafzeh XIX","",6,26.88,14.93,15.41,10.45,2.52,13.14,4.8
"Qafzeh XIX","4",5,65.73,30.43,25.81,10.71,8.9,27.86,3.66
"Qafzeh XIX","16",3,27.68,25.69,24.45,11,5.62,24.05,6.11
"Qafzeh XIX","79",3,40.23,23.54,17.87,15,5.91,8.11,4.56
"Qafzeh XIX","32",7,19.4,20.44,23.44,15,4.18,22.05,5.55
"Qafzeh XIX","522",9,36.79,27.04,25.98,7.99,6.62,9.99,3.53
"Qafzeh XIX","730",4,22.6,26.37,21.77,23.24,6.03,20.93,5.65
"Qafzeh XIX","525",4,48.61,24.45,29.58,23,10.9,11.76,2.59
"Qafzeh XIX","2252",4,26.28,18.69,13.23,8.51,2.01,6.89,1.09
"Qafzeh XIX","563",3,58.74,42.2,25.74,8,5.11,23.35,5.51
"Qafzeh XIX","33",3,36.12,39.75,25.8,16,5.02,18.17,5.75
"Qafzeh XIX","73",5,35.65,12.24,15.23,10.52,5.19,4.91,1.87
"Qafzeh XIX","24",4,30.24,30.51,29.78,23.35,5.58,28.07,3.77
"Qafzeh XIX","145",9,50.13,39.01,42.58,25.36,7.51,36.47,4.76
"Qafzeh XIX","33",5,31.2,21.44,18.28,6,3.6,13.36,3
"Qafzeh XIX","176",5,31.36,36.76,29.45,14,4.89,25.37,2.4
"Qafzeh XIX","35",6,30.25,22.8,21.63,7.09,3.4,18.79,4.7
"Qafzeh XIX","2651",3,20.18,21.54,26.23,11.2,3.55,24.74,3.38
"Qafzeh XIX","281",3,53.97,37.19,27.25,17.07,6.39,36.66,5.94
"Qafzeh XIX","42",4,29.7,25.35,24,12,5.27,17.98,5.38
"Qafzeh XIX","16",4,30.87,20.77,25.93,7,2.03,13.92,3.37
"Qafzeh XIX","417",6,27.24,29.48,33.61,12.93,5.2,33.25,1.88
"Qafzeh XIX","2593",3,19.92,19.74,18.2,13.3,5.05,17.87,4.7
"Qafzeh XIX","744",8,46.15,25.93,35.05,21,4.34,34.65,8.78
"Qafzeh XIX","779",7,59.48,18.23,26.83,17,5.62,13.5,2.79
"Qafzeh XIX","277",8,35.2,27.27,25.08,25,6.31,24,5.96
"Qafzeh XIX","17",4,29.88,33.45,22.3,13.72,2.59,15.93,2.96
"Qafzeh XIX","2567",5,29.75,28.88,19.64,10.39,4.21,14.71,2.17
"Qafzeh XIX","71",6,30.04,18.97,18.17,11.26,3.41,14.57,5.18
"Qafzeh XIX","501",9,38.04,39.38,33.97,8.74,5.68,31.13,6.69
"Qafzeh XIX","7",7,24.63,20.92,17.9,13.06,2.56,11.03,3.6
"Qafzeh XIX","40",6,33.65,26.07,16,14.87,2.27,7.68,1.83
"Qafzeh XIX","360",6,43.93,29.65,26.54,18.17,8.07,20.69,5.35
"Qafzeh XIX","274",7,67.07,36.89,28.54,30.99,8.05,17.65,7.56
"Qafzeh XIX","449",13,80.35,44.97,50.06,27,10.48,31.53,4.67
"Qafzeh XIX","410",3,71.22,49.1,32.32,13,10.75,20.84,11.92
"Qafzeh XIX","B11",4,27.3,23.58,17.71,8,6.26,14.32,4.03
"Qafzeh XIX","404",3,27.32,38.23,33.93,31.3,8.71,38.02,8
"Qafzeh XIX","755",7,31.02,32.76,18.17,21.33,6.94,4.61,2.39
"Qafzeh XIX","446",8,66.23,37.39,30.97,13.04,6.65,18.14,7.14
"Qafzeh XIX","24",5,38.28,35.31,21.21,17.88,9.14,22.8,4.52
"Qafzeh XIX","616",4,54.48,35.1,30.01,19.65,6.72,16.13,4.63
"BNS","675/678 (conjoin)",5,18.91,22.92,20.49,12.68,4.34,19.71,5.35
"BNS","1182",8,38.37,30.8,17.33,19.95,8.74,10.58,3.85
"BNS","1166",8,47.67,34.26,22.32,26.7,9.35,12.38,4.47
"BNS","1172",7,42.8,39.83,33.33,33.03,10.59,31.92,8.5
"BNS","1043",9,52.43,29.6,25.17,13.94,6.32,17.37,5.49
"BNS","977",5,30.06,15.36,10.57,1.34,3.04,10.56,3.22
"BNS","907",8,44.94,22.78,15.33,15.53,7.06,15.15,6.75
"BNS","943",5,36.43,25.52,22.25,21.84,6.14,21.69,3.6
"BNS","838",7,30.3,33.78,28.65,32.95,7.34,28.85,8.4
"BNS","837",7,26.56,19.03,16.91,22.93,5.49,12.4,4.12
"BNS","2803",7,39.67,24.32,16.61,5.39,5.78,14.97,5.56
"BNS","524",13,39.76,29.61,23.98,5.28,7.11,22.22,9.67
"BNS","11",13,36.11,28.44,18.31,14.97,8.71,17.04,8.7
"BNS","1015",8,37.83,24.78,11.9,23.05,6.07,9.2,4.78
"BNS","155",8,30.23,33.99,33.14,28.63,8.48,30.32,10.06
"BNS","812",16,48.94,52.72,37.38,37.38,14.98,34.08,7.35
"BNS","20",4,42.55,28.43,30.9,1.24,6.96,26.52,8.99
"BNS","50",4,28.98,20.24,19.38,7.77,4.05,18.26,5.87
"BNS","454",6,30.53,30.04,22.22,17.91,9.34,20.96,9.87
"BNS","432",6,26.22,27.72,26.91,9.62,7.6,28.55,6.73
"BNS","122",9,46.72,21.22,24.76,3.3,5.42,26.57,6.83
"BNS","229",5,23.69,22.19,25.96,14.84,6.74,26.28,9.65
"BNS","185",7,26.94,19.22,16.14,17.52,4.7,11.43,4.72
"BNS","166",3,24.08,23.35,14.77,14.07,5.36,17.46,5.96
"BNS","161",8,32.2,31.3,23.67,21.15,6.59,28.4,2.9
"BNS","176",3,19.82,23.63,20.19,21.81,6.17,17.58,5.84
"BNS","366",4,51.72,41.76,38.7,38,9.14,47.06,10.82
"BNS","367",10,45.1,36.41,29.99,17.82,5.16,28.53,8.7
"BNS","96",5,21.04,20.52,14.87,14.87,4.43,14.86,3.97
"BNS","243",9,18.77,16.87,16.27,2.63,3.14,15.89,4.46
"BNS","255",9,37.7,28.68,14.14,20.84,4.62,12.03,4.25
"BNS","734",11,18.58,14.73,10.39,6.9,3.02,9.76,3.64
"JSM-1","314",4,36.68,28.04,18.55,21.41,6.46,17.85,7.35
"JSM-1","302",6,40.23,28.56,20.48,24.82,7.84,21.6,7.51
"JSM-1","511",11,43.66,34.52,28.78,32,5.6,14.01,4.99
"JSM-1","301",13,47.47,43.19,43.98,20.57,9.26,40.24,14.25
"JSM-1","510",7,41.36,22.14,21.37,10.32,6.71,21.8,7.16
"JSM-1","502",6,34.6,24.57,21.78,17.92,6.77,21.36,8.71
"JSM-1","508",4,33.8,31.58,30.87,18.88,7.04,31.24,9.29
"JSM-1","309",9,44.77,31.06,35.48,21.07,12.1,32.82,6.12
"JSM-1","504",4,42.54,31.23,24.83,24.97,6.58,23.37,9.99
"JSM-1","506",7,39.3,39.09,34.3,27.64,8.93,36.44,7.18
"JSM-1","164",6,46.16,28.76,25.06,10.68,11.16,21.43,8.61
"JSM-1","507",6,41.37,33.06,24.57,20.8,8.74,18.67,6.33
"JSM-1","503",5,53.69,39.44,39.23,35.01,9.35,37.94,12.79
"JSM-1","509",12,39.69,28.92,23.97,21.12,10.75,21.73,4.27
"JSM-1","501",8,43.5,26.7,16.9,22.04,6.09,13.32,5.54
"JSM-1","505",5,57.38,47.59,49.12,33.01,8.67,32.15,4.18
"JSM-1","531",5,21.72,21.71,21.32,6.79,6.57,23.68,6.77
"JSM-1","575",6,28.61,20.86,19.79,17.45,7.39,14.51,6.91
"JSM-1","647",6,27.87,23.25,17.23,15.46,8.13,16,3.99
"JSM-1","773",6,41.08,25.4,17.53,19.26,8.25,14.62,2.54
"JSM-1","780",3,35.47,23.8,21.97,20.06,4.62,17.71,6.98
"JSM-1","790",5,29.67,24.57,17.26,17.25,7.49,15.15,3.87
"JSM-1","523",9,32.18,28.74,17.63,16.98,10.14,14.19,1.92
"JSM-1","810",7,20.97,20.96,13.2,23.88,5.49,9.73,3.59
"JSM-1","576",7,24.06,31.9,23.27,19.72,7.45,22.72,5.88
"JSM-1","914",8,23.67,14.23,10.52,8.82,2.68,6.56,2.29
"JSM-1","915",7,31.92,21.03,13.92,12.56,4.53,9.68,4.67
"JSM-1","988",4,25.6,20.36,20.07,17.48,5.95,18.78,3.22
"JSM-1","1087",7,34.68,20.87,21.4,14.32,8.49,21.8,8.82
"JSM-1","932",6,27.3,27.78,28.91,20.11,6.06,28.84,8.04
"JSM-1","934",5,24.42,23.45,18.9,18.61,5.67,7.61,2.72
"JSM-1","987",5,26.64,32.16,20.92,27.64,7.39,12.49,9.6
"JSM-1","1087",6,23.51,15.45,26.31,3.12,5.94,26.08,3.83
"JSM-1","79",5,32.52,18.61,15.05,15.35,4.41,10.98,1.78
"JSM-1","1088",7,55.89,42.42,42.48,32.17,10.74,30.98,8.45
"JSM-1","x-100",6,88.82,56.73,47.07,41.69,15.37,43.28,8.53
"Wusta","xx11",8,25.09,25.8,20.7,32.68,6.46,9.03,2.33
"Wusta","709",5,15.3,11.47,8.74,9.17,2.84,8.52,1.82
"Wusta","715",6,22.24,16.24,9.33,13.8,5.55,9.69,5.45
"Wusta","704",3,30.42,16.32,14.65,15.78,3.35,11.26,2.52
"Wusta","259",3,20.71,16.36,22.05,3.04,5.3,21.91,5.78
"Wusta","716",6,50.66,26.73,28.97,20.26,8.12,29.58,9.16
"Wusta","xx21",9,55.45,28.68,23.18,16.28,6.24,19.85,7.66
"Wusta","392",9,24.01,28.6,26.03,33.06,8.37,23.79,10.11
"Wusta","272",8,36.38,37.6,28.03,27.44,12.32,18.94,6.15
"Wusta","304",4,23.75,20.33,14.45,19.59,5.24,9.12,3.36
"Wusta","236",6,21.63,20.35,18.44,17.1,7.74,11.22,3.65
"Wusta","202",6,32.75,18.79,12.73,14.39,3.45,4.14,1.34
"Wusta","236",6,35.11,30.09,25.34,23.12,9.88,24.62,12.35
"Wusta","232",6,35.1,20.01,9.66,16.51,5.13,8.77,4.77
"Wusta","298",4,22.17,26.99,29.55,21.3,9.2,29.51,10.56
"Wusta","324",7,27.32,15.47,9.97,15.11,4.92,6.58,1.42
"Wusta","313",4,25.44,20.69,20.49,14.06,4.78,19.6,7.6
"Wusta","360",4,23.09,22.36,13.68,27.2,10.79,8.92,3.26
"Wusta","216",5,25.2,25.25,15.96,32.81,7.95,12.16,5.15
"Wusta","359",7,19.21,19.12,11.15,16.82,6.28,6.87,3.29
"Wusta","378",4,22.67,17.39,14.23,13.79,5.94,7.39,3.02
"Wusta","258",7,21.41,17.57,15.43,12.14,6.47,14.87,6.17
"Wusta","261",5,28.32,18.85,16.95,13.39,4.83,14.52,3.36
